[2019.12.09 18:05:22:957] EVENT,common init {1} [7311]
[2019.12.09 18:05:22:961] EVENT,start thread Logger 16 {16} [7311]
[2019.12.09 18:05:22:964] EVENT,file io allowed to u87wpcfg.dat {1} [7311]
