[2019.12.09 18:34:17:007] EVENT,common init {1} [1850]
[2019.12.09 18:34:17:012] EVENT,start thread Logger 16 {16} [1850]
[2019.12.09 18:34:17:014] EVENT,file io allowed to u87wpcfg.dat {1} [1850]
